nr_of_tries_median,nr_of_tries_sum,total_nr_of_empty_and_wrong_answers,f1_nodes,f1_nodes_and_types,f1_TOTAL
1.6666666666666667,25.0,2.6666666666666665,0.5714285714285715,0.20000000000000004,0.3238095238095238
2.6666666666666665,33.333333333333336,2.0,0.6666666666666666,0.0,0.2222222222222222
1.6666666666666667,28.666666666666668,3.3333333333333335,0.3333333333333333,0.0,0.1111111111111111
3.6666666666666665,36.0,7.0,0.4,0.0,0.13333333333333333
2.3333333333333335,37.0,10.0,0.4,0.0,0.13333333333333333
4.0,40.666666666666664,14.0,0.4,0.0,0.13333333333333333
3.0,33.666666666666664,2.0,0.4,0.0,0.13333333333333333
2.3333333333333335,32.333333333333336,3.6666666666666665,0.4,0.0,0.13333333333333333
2.0,25.666666666666668,1.3333333333333333,0.3333333333333333,0.20000000000000004,0.24444444444444446
1.0,21.0,2.6666666666666665,0.5714285714285715,0.4000000000000001,0.45714285714285724
3.0,28.333333333333332,6.333333333333333,0.4,0.25,0.3
1.6666666666666667,29.333333333333332,9.333333333333334,0.4,0.25,0.3
3.3333333333333335,33.0,13.333333333333334,0.4,0.25,0.3
2.3333333333333335,26.0,1.3333333333333333,0.4,0.25,0.3
1.6666666666666667,24.666666666666668,3.0,0.4,0.25,0.3
2.0,29.333333333333332,2.0,0.3333333333333333,0.20000000000000004,0.24444444444444446
4.0,36.666666666666664,5.666666666666667,0.4,0.0,0.13333333333333333
2.6666666666666665,37.666666666666664,8.666666666666666,0.4,0.0,0.13333333333333333
4.333333333333333,41.333333333333336,12.666666666666666,0.4,0.0,0.13333333333333333
3.3333333333333335,34.333333333333336,0.6666666666666666,0.4,0.0,0.13333333333333333
2.6666666666666665,33.0,2.3333333333333335,0.4,0.0,0.13333333333333333
3.0,32.0,7.0,0.3333333333333333,0.20000000000000004,0.24444444444444446
1.6666666666666667,33.0,10.0,0.3333333333333333,0.20000000000000004,0.24444444444444446
3.3333333333333335,36.666666666666664,14.0,0.3333333333333333,0.20000000000000004,0.24444444444444446
2.3333333333333335,29.666666666666668,2.0,0.3333333333333333,0.20000000000000004,0.24444444444444446
1.6666666666666667,28.333333333333332,3.6666666666666665,0.3333333333333333,0.20000000000000004,0.24444444444444446
3.6666666666666665,40.333333333333336,13.666666666666666,0.0,0.0,0.0
5.333333333333333,44.0,17.666666666666668,0.0,0.0,0.0
4.333333333333333,37.0,5.666666666666667,0.0,0.0,0.0
3.6666666666666665,35.666666666666664,7.333333333333333,0.0,0.0,0.0
4.0,45.0,20.666666666666668,0.0,0.0,0.0
3.0,38.0,8.666666666666666,0.0,0.0,0.0
2.3333333333333335,36.666666666666664,10.333333333333334,0.0,0.0,0.0
4.666666666666667,41.666666666666664,12.666666666666666,0.0,0.0,0.0
4.0,40.333333333333336,14.333333333333334,0.5,0.0,0.16666666666666666
3.0,33.333333333333336,2.3333333333333335,0.5,0.0,0.16666666666666666
2.6666666666666665,30.0,2.0,0.4,0.0,0.13333333333333333
1.6666666666666667,25.333333333333332,3.3333333333333335,0.3333333333333333,0.20000000000000004,0.24444444444444446
3.6666666666666665,32.666666666666664,7.0,0.0,0.0,0.0
2.3333333333333335,33.666666666666664,10.0,0.0,0.0,0.0
4.0,37.333333333333336,14.0,0.0,0.0,0.0
3.0,30.333333333333332,2.0,0.0,0.0,0.0
2.3333333333333335,29.0,3.6666666666666665,0.5,0.0,0.16666666666666666
2.6666666666666665,33.666666666666664,2.6666666666666665,0.4,0.0,0.13333333333333333
4.666666666666667,41.0,6.333333333333333,0.0,0.0,0.0
3.3333333333333335,42.0,9.333333333333334,0.0,0.0,0.0
5.0,45.666666666666664,13.333333333333334,0.0,0.0,0.0
4.0,38.666666666666664,1.3333333333333333,0.0,0.0,0.0
3.3333333333333335,37.333333333333336,3.0,0.4,0.0,0.13333333333333333
3.6666666666666665,36.333333333333336,7.666666666666667,0.4,0.0,0.13333333333333333
2.3333333333333335,37.333333333333336,10.666666666666666,0.4,0.0,0.13333333333333333
4.0,41.0,14.666666666666666,0.4,0.0,0.13333333333333333
3.0,34.0,2.6666666666666665,0.4,0.0,0.13333333333333333
2.3333333333333335,32.666666666666664,4.333333333333333,0.4,0.0,0.13333333333333333
4.333333333333333,44.666666666666664,14.333333333333334,0.0,0.0,0.0
6.0,48.333333333333336,18.333333333333332,0.0,0.0,0.0
5.0,41.333333333333336,6.333333333333333,0.0,0.0,0.0
4.333333333333333,40.0,8.0,0.0,0.0,0.0
4.666666666666667,49.333333333333336,21.333333333333332,0.0,0.0,0.0
3.6666666666666665,42.333333333333336,9.333333333333334,0.0,0.0,0.0
3.0,41.0,11.0,0.0,0.0,0.0
5.333333333333333,46.0,13.333333333333334,0.0,0.0,0.0
4.666666666666667,44.666666666666664,15.0,0.0,0.0,0.0
3.6666666666666665,37.666666666666664,3.0,0.0,0.0,0.0
2.0,26.0,2.0,0.3333333333333333,0.0,0.1111111111111111
4.0,33.333333333333336,5.666666666666667,0.0,0.0,0.0
2.6666666666666665,34.333333333333336,8.666666666666666,0.0,0.0,0.0
4.333333333333333,38.0,12.666666666666666,0.5,0.0,0.16666666666666666
3.3333333333333335,31.0,0.6666666666666666,0.5,0.0,0.16666666666666666
2.6666666666666665,29.666666666666668,2.3333333333333335,0.5,0.0,0.16666666666666666
3.0,28.666666666666668,7.0,0.0,0.0,0.0
1.6666666666666667,29.666666666666668,10.0,0.0,0.0,0.0
3.3333333333333335,33.333333333333336,14.0,0.0,0.0,0.0
2.3333333333333335,26.333333333333332,2.0,0.0,0.0,0.0
1.6666666666666667,25.0,3.6666666666666665,0.4,0.0,0.13333333333333333
3.6666666666666665,37.0,13.666666666666666,0.0,0.0,0.0
5.333333333333333,40.666666666666664,17.666666666666668,0.0,0.0,0.0
4.333333333333333,33.666666666666664,5.666666666666667,0.0,0.0,0.0
3.6666666666666665,32.333333333333336,7.333333333333333,0.0,0.0,0.0
4.0,41.666666666666664,20.666666666666668,0.0,0.0,0.0
3.0,34.666666666666664,8.666666666666666,0.0,0.0,0.0
2.3333333333333335,33.333333333333336,10.333333333333334,0.0,0.0,0.0
4.666666666666667,38.333333333333336,12.666666666666666,0.0,0.0,0.0
4.0,37.0,14.333333333333334,0.5,0.0,0.16666666666666666
3.0,30.0,2.3333333333333335,0.5,0.0,0.16666666666666666
4.0,37.0,6.333333333333333,0.0,0.0,0.0
2.6666666666666665,38.0,9.333333333333334,0.0,0.0,0.0
4.333333333333333,41.666666666666664,13.333333333333334,0.0,0.0,0.0
3.3333333333333335,34.666666666666664,1.3333333333333333,0.0,0.0,0.0
2.6666666666666665,33.333333333333336,3.0,0.4,0.0,0.13333333333333333
4.666666666666667,45.333333333333336,13.0,0.0,0.0,0.0
6.333333333333333,49.0,17.0,0.0,0.0,0.0
5.333333333333333,42.0,5.0,0.0,0.0,0.0
4.666666666666667,40.666666666666664,6.666666666666667,0.5,0.0,0.16666666666666666
5.0,50.0,20.0,0.0,0.0,0.0
4.0,43.0,8.0,0.0,0.0,0.0
3.3333333333333335,41.666666666666664,9.666666666666666,0.5,0.0,0.16666666666666666
5.666666666666667,46.666666666666664,12.0,0.0,0.0,0.0
5.0,45.333333333333336,13.666666666666666,0.5,0.0,0.16666666666666666
4.0,38.333333333333336,1.6666666666666667,0.5,0.0,0.16666666666666666
3.6666666666666665,40.666666666666664,14.333333333333334,0.0,0.0,0.0
5.333333333333333,44.333333333333336,18.333333333333332,0.0,0.0,0.0
4.333333333333333,37.333333333333336,6.333333333333333,0.0,0.0,0.0
3.6666666666666665,36.0,8.0,0.0,0.0,0.0
4.0,45.333333333333336,21.333333333333332,0.0,0.0,0.0
3.0,38.333333333333336,9.333333333333334,0.0,0.0,0.0
2.3333333333333335,37.0,11.0,0.0,0.0,0.0
4.666666666666667,42.0,13.333333333333334,0.0,0.0,0.0
4.0,40.666666666666664,15.0,0.0,0.0,0.0
3.0,33.666666666666664,3.0,0.0,0.0,0.0
6.0,52.666666666666664,25.0,0.0,0.0,0.0
5.0,45.666666666666664,13.0,0.0,0.0,0.0
4.333333333333333,44.333333333333336,14.666666666666666,0.0,0.0,0.0
6.666666666666667,49.333333333333336,17.0,0.0,0.0,0.0
6.0,48.0,18.666666666666668,0.0,0.0,0.0
5.0,41.0,6.666666666666667,0.0,0.0,0.0
5.333333333333333,50.333333333333336,20.0,0.0,0.0,0.0
4.666666666666667,49.0,21.666666666666668,0.0,0.0,0.0
3.6666666666666665,42.0,9.666666666666666,0.0,0.0,0.0
5.333333333333333,45.666666666666664,13.666666666666666,0.0,0.0,0.0
1.6666666666666667,25.0,2.6666666666666665,0.6666666666666666,0.5,0.5555555555555555
2.6666666666666665,33.333333333333336,2.0,0.6666666666666666,0.0,0.2222222222222222
1.6666666666666667,28.666666666666668,3.3333333333333335,0.6666666666666666,0.0,0.2222222222222222
3.6666666666666665,36.0,7.0,0.0,0.0,0.0
2.3333333333333335,37.0,10.0,0.0,0.0,0.0
4.0,40.666666666666664,14.0,0.0,0.0,0.0
3.0,33.666666666666664,2.0,1.0,0.0,0.3333333333333333
2.3333333333333335,32.333333333333336,3.6666666666666665,0.0,0.0,0.0
2.0,25.666666666666668,1.3333333333333333,1.0,0.0,0.3333333333333333
1.0,21.0,2.6666666666666665,0.6666666666666666,0.0,0.2222222222222222
3.0,28.333333333333332,6.333333333333333,0.0,0.0,0.0
1.6666666666666667,29.333333333333332,9.333333333333334,0.0,0.0,0.0
3.3333333333333335,33.0,13.333333333333334,0.0,0.0,0.0
2.3333333333333335,26.0,1.3333333333333333,1.0,0.0,0.3333333333333333
1.6666666666666667,24.666666666666668,3.0,0.0,0.0,0.0
2.0,29.333333333333332,2.0,1.0,0.0,0.3333333333333333
4.0,36.666666666666664,5.666666666666667,0.0,0.0,0.0
2.6666666666666665,37.666666666666664,8.666666666666666,0.0,0.0,0.0
4.333333333333333,41.333333333333336,12.666666666666666,1.0,0.0,0.3333333333333333
3.3333333333333335,34.333333333333336,0.6666666666666666,1.0,0.0,0.3333333333333333
2.6666666666666665,33.0,2.3333333333333335,0.0,0.0,0.0
3.0,32.0,7.0,1.0,0.0,0.3333333333333333
1.6666666666666667,33.0,10.0,1.0,0.0,0.3333333333333333
3.3333333333333335,36.666666666666664,14.0,1.0,0.0,0.3333333333333333
2.3333333333333335,29.666666666666668,2.0,1.0,0.0,0.3333333333333333
1.6666666666666667,28.333333333333332,3.6666666666666665,1.0,0.0,0.3333333333333333
3.6666666666666665,40.333333333333336,13.666666666666666,0.0,0.0,0.0
5.333333333333333,44.0,17.666666666666668,0.0,0.0,0.0
4.333333333333333,37.0,5.666666666666667,0.0,0.0,0.0
3.6666666666666665,35.666666666666664,7.333333333333333,0.0,0.0,0.0
4.0,45.0,20.666666666666668,0.0,0.0,0.0
3.0,38.0,8.666666666666666,0.0,0.0,0.0
2.3333333333333335,36.666666666666664,10.333333333333334,0.0,0.0,0.0
4.666666666666667,41.666666666666664,12.666666666666666,0.6666666666666666,0.0,0.2222222222222222
4.0,40.333333333333336,14.333333333333334,0.0,0.0,0.0
3.0,33.333333333333336,2.3333333333333335,0.0,0.0,0.0
2.6666666666666665,30.0,2.0,0.6666666666666666,0.5,0.5555555555555555
1.6666666666666667,25.333333333333332,3.3333333333333335,0.6666666666666666,0.5,0.5555555555555555
3.6666666666666665,32.666666666666664,7.0,1.0,1.0,1.0
2.3333333333333335,33.666666666666664,10.0,1.0,1.0,1.0
4.0,37.333333333333336,14.0,1.0,1.0,1.0
3.0,30.333333333333332,2.0,1.0,1.0,1.0
2.3333333333333335,29.0,3.6666666666666665,1.0,1.0,1.0
2.6666666666666665,33.666666666666664,2.6666666666666665,0.6666666666666666,0.0,0.2222222222222222
4.666666666666667,41.0,6.333333333333333,0.0,0.0,0.0
3.3333333333333335,42.0,9.333333333333334,0.0,0.0,0.0
5.0,45.666666666666664,13.333333333333334,0.0,0.0,0.0
4.0,38.666666666666664,1.3333333333333333,0.6666666666666666,0.0,0.2222222222222222
3.3333333333333335,37.333333333333336,3.0,0.0,0.0,0.0
3.6666666666666665,36.333333333333336,7.666666666666667,0.0,0.0,0.0
2.3333333333333335,37.333333333333336,10.666666666666666,0.0,0.0,0.0
4.0,41.0,14.666666666666666,0.0,0.0,0.0
3.0,34.0,2.6666666666666665,1.0,0.0,0.3333333333333333
2.3333333333333335,32.666666666666664,4.333333333333333,0.0,0.0,0.0
4.333333333333333,44.666666666666664,14.333333333333334,0.0,0.0,0.0
6.0,48.333333333333336,18.333333333333332,0.0,0.0,0.0
5.0,41.333333333333336,6.333333333333333,0.0,0.0,0.0
4.333333333333333,40.0,8.0,0.0,0.0,0.0
4.666666666666667,49.333333333333336,21.333333333333332,0.0,0.0,0.0
3.6666666666666665,42.333333333333336,9.333333333333334,0.0,0.0,0.0
3.0,41.0,11.0,0.0,0.0,0.0
5.333333333333333,46.0,13.333333333333334,0.0,0.0,0.0
4.666666666666667,44.666666666666664,15.0,0.0,0.0,0.0
3.6666666666666665,37.666666666666664,3.0,0.0,0.0,0.0
2.0,26.0,2.0,0.6666666666666666,0.0,0.2222222222222222
4.0,33.333333333333336,5.666666666666667,0.0,0.0,0.0
2.6666666666666665,34.333333333333336,8.666666666666666,0.0,0.0,0.0
4.333333333333333,38.0,12.666666666666666,0.0,0.0,0.0
3.3333333333333335,31.0,0.6666666666666666,1.0,0.0,0.3333333333333333
2.6666666666666665,29.666666666666668,2.3333333333333335,0.0,0.0,0.0
3.0,28.666666666666668,7.0,0.0,0.0,0.0
1.6666666666666667,29.666666666666668,10.0,0.0,0.0,0.0
3.3333333333333335,33.333333333333336,14.0,0.0,0.0,0.0
2.3333333333333335,26.333333333333332,2.0,0.6666666666666666,0.0,0.2222222222222222
1.6666666666666667,25.0,3.6666666666666665,0.0,0.0,0.0
3.6666666666666665,37.0,13.666666666666666,0.0,0.0,0.0
5.333333333333333,40.666666666666664,17.666666666666668,0.0,0.0,0.0
4.333333333333333,33.666666666666664,5.666666666666667,0.0,0.0,0.0
3.6666666666666665,32.333333333333336,7.333333333333333,0.0,0.0,0.0
4.0,41.666666666666664,20.666666666666668,0.0,0.0,0.0
3.0,34.666666666666664,8.666666666666666,0.0,0.0,0.0
2.3333333333333335,33.333333333333336,10.333333333333334,0.0,0.0,0.0
4.666666666666667,38.333333333333336,12.666666666666666,0.0,0.0,0.0
4.0,37.0,14.333333333333334,0.0,0.0,0.0
3.0,30.0,2.3333333333333335,0.0,0.0,0.0
4.0,37.0,6.333333333333333,0.0,0.0,0.0
2.6666666666666665,38.0,9.333333333333334,0.0,0.0,0.0
4.333333333333333,41.666666666666664,13.333333333333334,1.0,0.0,0.3333333333333333
3.3333333333333335,34.666666666666664,1.3333333333333333,1.0,0.0,0.3333333333333333
2.6666666666666665,33.333333333333336,3.0,0.0,0.0,0.0
4.666666666666667,45.333333333333336,13.0,0.0,0.0,0.0
6.333333333333333,49.0,17.0,0.0,0.0,0.0
5.333333333333333,42.0,5.0,1.0,0.0,0.3333333333333333
4.666666666666667,40.666666666666664,6.666666666666667,0.0,0.0,0.0
5.0,50.0,20.0,0.0,0.0,0.0
4.0,43.0,8.0,1.0,0.0,0.3333333333333333
3.3333333333333335,41.666666666666664,9.666666666666666,0.0,0.0,0.0
5.666666666666667,46.666666666666664,12.0,0.6666666666666666,0.0,0.2222222222222222
5.0,45.333333333333336,13.666666666666666,0.0,0.0,0.0
4.0,38.333333333333336,1.6666666666666667,1.0,0.0,0.3333333333333333
3.6666666666666665,40.666666666666664,14.333333333333334,0.0,0.0,0.0
5.333333333333333,44.333333333333336,18.333333333333332,0.0,0.0,0.0
4.333333333333333,37.333333333333336,6.333333333333333,0.0,0.0,0.0
3.6666666666666665,36.0,8.0,0.0,0.0,0.0
4.0,45.333333333333336,21.333333333333332,0.0,0.0,0.0
3.0,38.333333333333336,9.333333333333334,0.0,0.0,0.0
2.3333333333333335,37.0,11.0,0.0,0.0,0.0
4.666666666666667,42.0,13.333333333333334,0.6666666666666666,0.0,0.2222222222222222
4.0,40.666666666666664,15.0,0.0,0.0,0.0
3.0,33.666666666666664,3.0,0.0,0.0,0.0
6.0,52.666666666666664,25.0,0.0,0.0,0.0
5.0,45.666666666666664,13.0,0.0,0.0,0.0
4.333333333333333,44.333333333333336,14.666666666666666,0.0,0.0,0.0
6.666666666666667,49.333333333333336,17.0,0.0,0.0,0.0
6.0,48.0,18.666666666666668,0.0,0.0,0.0
5.0,41.0,6.666666666666667,0.0,0.0,0.0
5.333333333333333,50.333333333333336,20.0,0.0,0.0,0.0
4.666666666666667,49.0,21.666666666666668,0.0,0.0,0.0
3.6666666666666665,42.0,9.666666666666666,0.0,0.0,0.0
5.333333333333333,45.666666666666664,13.666666666666666,0.0,0.0,0.0
1.6666666666666667,25.0,2.6666666666666665,0.39999999999999997,0.15384615384615385,0.23589743589743586
2.6666666666666665,33.333333333333336,2.0,0.26666666666666666,0.07142857142857142,0.1365079365079365
1.6666666666666667,28.666666666666668,3.3333333333333335,0.26666666666666666,0.07142857142857142,0.1365079365079365
3.6666666666666665,36.0,7.0,0.28571428571428575,0.07692307692307693,0.14652014652014653
2.3333333333333335,37.0,10.0,0.28571428571428575,0.07692307692307693,0.14652014652014653
4.0,40.666666666666664,14.0,0.28571428571428575,0.07692307692307693,0.14652014652014653
3.0,33.666666666666664,2.0,0.26666666666666666,0.07142857142857142,0.1365079365079365
2.3333333333333335,32.333333333333336,3.6666666666666665,0.28571428571428575,0.07692307692307693,0.14652014652014653
2.0,25.666666666666668,1.3333333333333333,0.39999999999999997,0.15384615384615385,0.23589743589743586
1.0,21.0,2.6666666666666665,0.39999999999999997,0.15384615384615385,0.23589743589743586
3.0,28.333333333333332,6.333333333333333,0.42857142857142855,0.16666666666666666,0.25396825396825395
1.6666666666666667,29.333333333333332,9.333333333333334,0.42857142857142855,0.16666666666666666,0.25396825396825395
3.3333333333333335,33.0,13.333333333333334,0.42857142857142855,0.16666666666666666,0.25396825396825395
2.3333333333333335,26.0,1.3333333333333333,0.39999999999999997,0.15384615384615385,0.23589743589743586
1.6666666666666667,24.666666666666668,3.0,0.42857142857142855,0.16666666666666666,0.25396825396825395
2.0,29.333333333333332,2.0,0.15384615384615385,0.08333333333333333,0.10683760683760683
4.0,36.666666666666664,5.666666666666667,0.0,0.0,0.0
2.6666666666666665,37.666666666666664,8.666666666666666,0.0,0.0,0.0
4.333333333333333,41.333333333333336,12.666666666666666,0.0,0.0,0.0
3.3333333333333335,34.333333333333336,0.6666666666666666,0.0,0.0,0.0
2.6666666666666665,33.0,2.3333333333333335,0.0,0.0,0.0
3.0,32.0,7.0,0.15384615384615385,0.08333333333333333,0.10683760683760683
1.6666666666666667,33.0,10.0,0.15384615384615385,0.08333333333333333,0.10683760683760683
3.3333333333333335,36.666666666666664,14.0,0.15384615384615385,0.08333333333333333,0.10683760683760683
2.3333333333333335,29.666666666666668,2.0,0.14285714285714288,0.07692307692307693,0.09890109890109892
1.6666666666666667,28.333333333333332,3.6666666666666665,0.15384615384615385,0.08333333333333333,0.10683760683760683
3.6666666666666665,40.333333333333336,13.666666666666666,0.0,0.0,0.0
5.333333333333333,44.0,17.666666666666668,0.0,0.0,0.0
4.333333333333333,37.0,5.666666666666667,0.0,0.0,0.0
3.6666666666666665,35.666666666666664,7.333333333333333,0.0,0.0,0.0
4.0,45.0,20.666666666666668,0.0,0.0,0.0
3.0,38.0,8.666666666666666,0.0,0.0,0.0
2.3333333333333335,36.666666666666664,10.333333333333334,0.0,0.0,0.0
4.666666666666667,41.666666666666664,12.666666666666666,0.0,0.0,0.0
4.0,40.333333333333336,14.333333333333334,0.0,0.0,0.0
3.0,33.333333333333336,2.3333333333333335,0.0,0.0,0.0
2.6666666666666665,30.0,2.0,0.88,0.625,0.71
1.6666666666666667,25.333333333333332,3.3333333333333335,0.88,0.5882352941176471,0.6854901960784314
3.6666666666666665,32.666666666666664,7.0,0.9565217391304348,0.7142857142857143,0.7950310559006212
2.3333333333333335,33.666666666666664,10.0,0.9565217391304348,0.7142857142857143,0.7950310559006212
4.0,37.333333333333336,14.0,0.3076923076923077,0.08333333333333333,0.1581196581196581
3.0,30.333333333333332,2.0,0.3076923076923077,0.08333333333333333,0.1581196581196581
2.3333333333333335,29.0,3.6666666666666665,0.3076923076923077,0.08333333333333333,0.1581196581196581
2.6666666666666665,33.666666666666664,2.6666666666666665,0.4210526315789474,0.11764705882352941,0.21878224974200208
4.666666666666667,41.0,6.333333333333333,0.3529411764705882,0.13333333333333333,0.20653594771241832
3.3333333333333335,42.0,9.333333333333334,0.3529411764705882,0.13333333333333333,0.20653594771241832
5.0,45.666666666666664,13.333333333333334,0.0,0.0,0.0
4.0,38.666666666666664,1.3333333333333333,0.0,0.0,0.0
3.3333333333333335,37.333333333333336,3.0,0.0,0.0,0.0
3.6666666666666665,36.333333333333336,7.666666666666667,0.4444444444444444,0.125,0.23148148148148148
2.3333333333333335,37.333333333333336,10.666666666666666,0.16666666666666669,0.09090909090909091,0.11616161616161617
4.0,41.0,14.666666666666666,0.16666666666666669,0.09090909090909091,0.11616161616161617
3.0,34.0,2.6666666666666665,0.16666666666666669,0.09090909090909091,0.11616161616161617
2.3333333333333335,32.666666666666664,4.333333333333333,0.16666666666666669,0.09090909090909091,0.11616161616161617
4.333333333333333,44.666666666666664,14.333333333333334,0.39999999999999997,0.15384615384615385,0.23589743589743586
6.0,48.333333333333336,18.333333333333332,0.0,0.0,0.0
5.0,41.333333333333336,6.333333333333333,0.0,0.0,0.0
4.333333333333333,40.0,8.0,0.37499999999999994,0.14285714285714285,0.2202380952380952
4.666666666666667,49.333333333333336,21.333333333333332,0.37499999999999994,0.14285714285714285,0.2202380952380952
3.6666666666666665,42.333333333333336,9.333333333333334,0.0,0.0,0.0
3.0,41.0,11.0,0.0,0.0,0.0
5.333333333333333,46.0,13.333333333333334,0.0,0.0,0.0
4.666666666666667,44.666666666666664,15.0,0.3529411764705882,0.13333333333333333,0.20653594771241832
3.6666666666666665,37.666666666666664,3.0,0.0,0.0,0.0
2.0,26.0,2.0,0.88,0.5294117647058824,0.6462745098039216
4.0,33.333333333333336,5.666666666666667,0.9166666666666666,0.6,0.7055555555555556
2.6666666666666665,34.333333333333336,8.666666666666666,0.9166666666666666,0.6,0.7055555555555556
4.333333333333333,38.0,12.666666666666666,0.0,0.0,0.0
3.3333333333333335,31.0,0.6666666666666666,0.0,0.0,0.0
2.6666666666666665,29.666666666666668,2.3333333333333335,0.0,0.0,0.0
3.0,28.666666666666668,7.0,0.9166666666666666,0.5625,0.6805555555555555
1.6666666666666667,29.666666666666668,10.0,0.9166666666666666,0.5625,0.6805555555555555
3.3333333333333335,33.333333333333336,14.0,0.16666666666666669,0.09090909090909091,0.11616161616161617
2.3333333333333335,26.333333333333332,2.0,0.16666666666666669,0.09090909090909091,0.11616161616161617
1.6666666666666667,25.0,3.6666666666666665,0.16666666666666669,0.09090909090909091,0.11616161616161617
3.6666666666666665,37.0,13.666666666666666,1.0,0.6923076923076923,0.7948717948717948
5.333333333333333,40.666666666666664,17.666666666666668,0.0,0.0,0.0
4.333333333333333,33.666666666666664,5.666666666666667,0.0,0.0,0.0
3.6666666666666665,32.333333333333336,7.333333333333333,0.0,0.0,0.0
4.0,41.666666666666664,20.666666666666668,0.0,0.0,0.0
3.0,34.666666666666664,8.666666666666666,0.0,0.0,0.0
2.3333333333333335,33.333333333333336,10.333333333333334,0.0,0.0,0.0
4.666666666666667,38.333333333333336,12.666666666666666,0.0,0.0,0.0
4.0,37.0,14.333333333333334,0.0,0.0,0.0
3.0,30.0,2.3333333333333335,0.0,0.0,0.0
4.0,37.0,6.333333333333333,0.25000000000000006,0.06666666666666667,0.1277777777777778
2.6666666666666665,38.0,9.333333333333334,0.0,0.0,0.0
4.333333333333333,41.666666666666664,13.333333333333334,0.0,0.0,0.0
3.3333333333333335,34.666666666666664,1.3333333333333333,0.0,0.0,0.0
2.6666666666666665,33.333333333333336,3.0,0.0,0.0,0.0
4.666666666666667,45.333333333333336,13.0,0.0,0.0,0.0
6.333333333333333,49.0,17.0,0.0,0.0,0.0
5.333333333333333,42.0,5.0,0.0,0.0,0.0
4.666666666666667,40.666666666666664,6.666666666666667,0.0,0.0,0.0
5.0,50.0,20.0,0.0,0.0,0.0
4.0,43.0,8.0,0.0,0.0,0.0
3.3333333333333335,41.666666666666664,9.666666666666666,0.0,0.0,0.0
5.666666666666667,46.666666666666664,12.0,0.0,0.0,0.0
5.0,45.333333333333336,13.666666666666666,0.0,0.0,0.0
4.0,38.333333333333336,1.6666666666666667,0.0,0.0,0.0
3.6666666666666665,40.666666666666664,14.333333333333334,0.26666666666666666,0.07142857142857142,0.1365079365079365
5.333333333333333,44.333333333333336,18.333333333333332,0.0,0.0,0.0
4.333333333333333,37.333333333333336,6.333333333333333,0.0,0.0,0.0
3.6666666666666665,36.0,8.0,0.0,0.0,0.0
4.0,45.333333333333336,21.333333333333332,0.0,0.0,0.0
3.0,38.333333333333336,9.333333333333334,0.0,0.0,0.0
2.3333333333333335,37.0,11.0,0.0,0.0,0.0
4.666666666666667,42.0,13.333333333333334,0.0,0.0,0.0
4.0,40.666666666666664,15.0,0.0,0.0,0.0
3.0,33.666666666666664,3.0,0.0,0.0,0.0
6.0,52.666666666666664,25.0,0.0,0.0,0.0
5.0,45.666666666666664,13.0,0.0,0.0,0.0
4.333333333333333,44.333333333333336,14.666666666666666,0.0,0.0,0.0
6.666666666666667,49.333333333333336,17.0,0.0,0.0,0.0
6.0,48.0,18.666666666666668,0.0,0.0,0.0
5.0,41.0,6.666666666666667,0.0,0.0,0.0
5.333333333333333,50.333333333333336,20.0,0.0,0.0,0.0
4.666666666666667,49.0,21.666666666666668,0.0,0.0,0.0
3.6666666666666665,42.0,9.666666666666666,0.0,0.0,0.0
5.333333333333333,45.666666666666664,13.666666666666666,0.0,0.0,0.0
